Name,Completion Date (B1),Lifecycle Cost ($M),Planned Cost ($ M),Projected/Actual Cost ($ M)
Department of Veterans Affairs,2014-08-31,11.996822,0.6,0.6
Department of Veterans Affairs,2013-01-07,39.876,5,5
Department of Veterans Affairs,2015-09-30,7,0.235417,0.235417
Department of Veterans Affairs,2017-09-30,72.495616,4.093279,4.093279
Department of Veterans Affairs,2015-09-30,14.268218,2.671332,2.622249
Department of Veterans Affairs,2015-06-28,20.68,5.045811,5.045811
Department of Veterans Affairs,2015-09-30,9.778918,2.871334,2.519
Department of Veterans Affairs,2016-09-30,56.631558,4.085577,19.949901
Department of Veterans Affairs,2013-01-28,20.726,1.8,1.8
Department of Veterans Affairs,2014-09-30,8.431318,3.2,3.2
Department of Veterans Affairs,2014-09-30,9.546318,7.315,7.315
Department of Veterans Affairs,2014-03-31,43.717105,43.204,38.8836
Department of Veterans Affairs,2013-01-31,60.51,6.5296,6.5296
Department of Veterans Affairs,2013-08-30,17.883,1,1
Department of Veterans Affairs,2012-02-21,1.937422,0.184,0.093317
Department of Veterans Affairs,2013-09-16,6.628798,2.021162,2.021162
Department of Veterans Affairs,2012-09-30,1.8,0.289181,0.289181
Department of Veterans Affairs,2012-06-29,1.286912,0.514765,0.514765
Department of Veterans Affairs,2012-10-19,1.13665,0.80166,0.80166
Department of Veterans Affairs,2012-02-03,0.84817,0.424085,0.424085
Department of Veterans Affairs,2013-09-30,1.991782,0.193121,0.193121
Department of Veterans Affairs,2011-12-30,2.0775,1.6875,1.6875
Department of Veterans Affairs,2012-03-30,24.8,1.8,1.8
Department of Veterans Affairs,2017-01-03,59.619736,0.119732,0.119732
Department of Veterans Affairs,2013-01-25,2.178655,0.433,0.433
Department of Veterans Affairs,2011-11-28,19.83,1.501,1.501
Department of Veterans Affairs,2012-09-29,38.051,3.074001,3.074001
Department of Veterans Affairs,2013-08-02,13.93,1.659,1.659
Department of Veterans Affairs,2012-04-09,10.442333,1.044233,1.044233
Department of Veterans Affairs,2012-02-24,0.31,0.249,0.249
Department of Veterans Affairs,2012-02-29,4.67096,0.59032,0.59032
Department of Veterans Affairs,2013-09-27,5.754363,1.810969,1.810989
Department of Veterans Affairs,2012-07-31,5.937,3.88345,4.037686
Department of Veterans Affairs,2012-01-10,0.918,0.2,0.21
Department of Veterans Affairs,2012-09-28,4.035,0.3,0.3
Department of Veterans Affairs,2012-09-28,11.263,0.3,0.3
Department of Veterans Affairs,2013-09-30,2.9,0.094232,0.094232
Department of Veterans Affairs,2014-09-30,7.378058,2.440494,3.468074
Department of Veterans Affairs,2013-09-30,2.9,0.114927,0.114927
Department of Veterans Affairs,2013-12-04,2.4,0.250549,0.250549
Department of Veterans Affairs,2013-04-30,22.701,2.2701,1.7843
Department of Veterans Affairs,2011-12-30,21.258,0.670669,0.547013
Department of Veterans Affairs,2013-09-30,3.825,1.834856,1.834856
Department of Veterans Affairs,2012-10-15,0.5,0.15,0.15
Department of Veterans Affairs,2013-06-18,3.3,0.33,0.33
Department of Veterans Affairs,2014-12-31,27.08,1.668,1.668
Department of Veterans Affairs,2014-09-30,4.35,0.435,0.435
Department of Veterans Affairs,2012-08-31,2,0.12,0.118128
Department of Veterans Affairs,2013-05-30,5.79022,3.877357,4.74577
Department of Veterans Affairs,2017-09-29,66.601,3.12,3.12
Department of Veterans Affairs,2017-09-29,29.913,0.01,0.01
Department of Veterans Affairs,2015-09-30,11.5,0.125,0.125
Department of Veterans Affairs,2013-10-31,9.853875,0.4764,0.4764
Department of Veterans Affairs,2012-06-18,12,12,8.625576
Department of Veterans Affairs,2012-10-15,86.697339,86.697339,86.697339
Environmental Protection Agency,2012-09-30,92.02,8.76,8.499
Environmental Protection Agency,2012-09-30,1.72,1.53,1.2816
Environmental Protection Agency,2012-09-30,6.69,5.965,5.3296
Environmental Protection Agency,2016-09-30,2.33,1.015,0.731
Environmental Protection Agency,2012-09-30,6.913,6.913,6.928
Environmental Protection Agency,2012-09-30,1.099,1.099,1.099
Environmental Protection Agency,2012-09-30,0.953,0.953,1.016
Environmental Protection Agency,2012-09-30,1.2,1.2,1.2
Environmental Protection Agency,2012-09-30,1.671,0.503,0.503
Environmental Protection Agency,2012-09-30,1.23,1.23,1.116605
Environmental Protection Agency,2013-09-30,4.376594,2.307025,2.503797
Environmental Protection Agency,2013-09-30,6.914,2.822001,2.822001
Environmental Protection Agency,2013-09-30,5.287114,4.630506,4.944503
Environmental Protection Agency,2012-09-30,0.2218,0.2218,0.2218
Environmental Protection Agency,2012-09-30,0.1546,0.1546,0.1546
Environmental Protection Agency,2012-09-30,0.1546,0.1546,0.1546
Environmental Protection Agency,2012-09-30,0.181,0.181,0.181
Environmental Protection Agency,2012-09-30,2.0681,2.0681,2.0681
Environmental Protection Agency,2012-09-30,0.1546,0.1546,0.1546
Environmental Protection Agency,2012-09-30,0.1546,0.1546,0.1546
Environmental Protection Agency,2012-09-30,0.1546,0.1546,0.1546
Environmental Protection Agency,2012-09-30,0.1546,0.1546,0.1546
Environmental Protection Agency,2012-09-30,0.1342,0.1342,0.1342
Environmental Protection Agency,2012-09-30,0.1546,0.1546,0.1546
Environmental Protection Agency,2012-09-30,0.940374,0.940374,0.940374
Environmental Protection Agency,2014-09-15,28.88,10.338,10.338
General Services Administration,2012-09-30,1,1,1
General Services Administration,2012-09-30,1.93,1.93,1.93
General Services Administration,2012-09-30,1.2,1.2,1.2
General Services Administration,2012-09-30,0.15,0.15,0.15
General Services Administration,2012-09-30,132.003,0.760537,0.731822
General Services Administration,2012-03-30,21.058,21.058,19.49
General Services Administration,2011-09-30,2.5,2.5,2
General Services Administration,2011-09-30,1.5,1.5,1.5
General Services Administration,2011-09-30,0.25,0.25,0.25
General Services Administration,2011-09-30,0.684,0.684,0.6
General Services Administration,2011-09-30,0.26,0.26,0.26
General Services Administration,2011-09-30,0.475,0.475,0.475
General Services Administration,2011-09-30,0.065,0.065,0.039
General Services Administration,2011-09-30,0.5,0.5,0.3
General Services Administration,2012-09-30,14.718,14.718,14.718
General Services Administration,2012-09-30,0.75,0.75,0.75
General Services Administration,2012-09-30,1.5,1.5,1.5
General Services Administration,2012-09-30,2.5,2.5,2.5
General Services Administration,2012-09-28,1,1,1
General Services Administration,2012-09-30,2,2,2
General Services Administration,2012-09-30,0.704,0.704,0.704
General Services Administration,2012-09-30,0.25,0.25,0.25
General Services Administration,2012-09-30,0.5,0.5,0.5
General Services Administration,2012-09-30,0.732,0.732,0.732
General Services Administration,2012-09-30,0.492,0.492,0.492
General Services Administration,2012-09-30,1.218,1.218,1.218
General Services Administration,2012-09-30,37.935079,1.111,1.020352
General Services Administration,2012-07-31,0.845544,0.845544,0.828965
General Services Administration,2012-09-30,1.169731,1.169731,1.157462
General Services Administration,2011-09-15,0.156647,0.156647,0.153486
General Services Administration,2011-05-12,0.07961,0.07961,0.07961
General Services Administration,2011-12-31,0.17,0.0375,0.0375
General Services Administration,2012-09-30,1.36,0.3,0.3
General Services Administration,2011-12-31,0.525,0.1125,0.1125
General Services Administration,2012-09-30,1.4,1.03333,1.03333
General Services Administration,2012-09-30,11.258,11.258,11.258
General Services Administration,2012-03-31,0.469411,0.469411,0.50552
General Services Administration,2014-01-07,40,5.26133,5.26133
General Services Administration,2011-09-30,5.34416,5.34416,5.453821
General Services Administration,2011-09-30,0.233,0.233,0.233
General Services Administration,2011-12-08,0.116,0.116,0.116
General Services Administration,2011-07-07,0.146,0.146,0.1289
General Services Administration,2011-09-30,2.243,0.29,0.29
General Services Administration,2012-09-30,1.902246,0.37258,0.37258
General Services Administration,2012-08-31,0.242,0.242,0.242
General Services Administration,2011-12-15,0.525,0.35,0.35
General Services Administration,2012-09-30,1.149,1.149,1.149
General Services Administration,2011-12-29,0.331,0.331,0.331
General Services Administration,2012-08-06,0.369,0.369,0.356992
General Services Administration,2012-02-11,0.28,0.28,0.28
General Services Administration,2012-09-30,3.0701,3.0701,3.0701
General Services Administration,2012-09-08,1.824522,1.887375,1.887375
General Services Administration,2012-09-30,14.565,5.9299,5.9299
General Services Administration,2013-01-31,15.567753,15.567753,15.337128
General Services Administration,2011-01-11,0.103,0.102,0.102
General Services Administration,2011-02-11,0.105,0.105,0.105
General Services Administration,2012-01-03,0.351,0.351,0.351
General Services Administration,2012-07-31,0.367,0.367,0.367
General Services Administration,2012-07-31,0.456,0.2,0.2
General Services Administration,2012-07-31,0.1997,0.1997,0.1997
General Services Administration,2012-05-31,0.227,0.227,0.242
General Services Administration,2012-09-30,0.5,0.5,0.5
General Services Administration,2012-09-30,0.75,0.75,0.75
General Services Administration,2012-05-31,0.227,0.227,0.229
General Services Administration,2012-09-30,1.75,1.75,1.76
General Services Administration,2012-09-30,0.5,0.5,0.5
General Services Administration,2012-09-30,0.5,0.5,0.5
General Services Administration,2012-04-30,0.221177,0.221177,0.221177
General Services Administration,2012-03-31,0.212005,0.212005,0.212005
National Aeronautics and Space Administration,2012-02-01,0.25,0.25,0.25
National Aeronautics and Space Administration,2012-01-01,1.5,1.5,1.5
National Aeronautics and Space Administration,2012-06-30,0.5,0.5,0.5
National Aeronautics and Space Administration,2011-09-30,13,13,13
National Aeronautics and Space Administration,2011-09-30,26.7,26.7,26.6
National Aeronautics and Space Administration,2011-09-30,98.23,89.8,95.179
National Aeronautics and Space Administration,2011-09-30,30.6,30.6,25.5
National Aeronautics and Space Administration,2011-09-30,16.489,16.489,16.339
National Aeronautics and Space Administration,2011-09-30,21.201,21.201,21.201
National Aeronautics and Space Administration,2011-09-30,116.733,114.126,115.098
National Aeronautics and Space Administration,2011-09-30,42.979,42.979,42.608
National Aeronautics and Space Administration,2011-10-30,0.928,0.928,0.928
National Aeronautics and Space Administration,2011-09-30,2.616,2.616,2.616
National Aeronautics and Space Administration,2011-11-30,0.945,0.945,0.945
National Aeronautics and Space Administration,2012-09-30,0.2,0.2,0.2
National Aeronautics and Space Administration,2012-03-13,36.432,36.432,35.823
National Aeronautics and Space Administration,2011-09-30,5.007,5.007,5.036
National Aeronautics and Space Administration,2011-01-11,8.615,8.615,8.615
National Aeronautics and Space Administration,2011-09-30,79.962,79.962,80.931
National Aeronautics and Space Administration,2011-09-30,6.292,6.292,6.292
National Aeronautics and Space Administration,2011-09-30,10.846,10.846,7.377
National Archives and Records Administration,2012-09-16,0.35,0.35,0.32
National Archives and Records Administration,2012-09-16,0.237,0.237,0.236
National Archives and Records Administration,2012-09-16,0.85,0.85,0.846
National Archives and Records Administration,2012-07-29,1.98,1.31,1.267
National Archives and Records Administration,2011-09-12,0.352,0.352,0.30573
National Archives and Records Administration,2012-02-17,0.352,0.352,0.3005
National Archives and Records Administration,2012-04-27,0.352,0.352,0.3847
National Archives and Records Administration,2012-06-07,0.352,0.352,0.36456
National Archives and Records Administration,2012-03-12,0.352,0.352,0.352
National Archives and Records Administration,2012-06-30,0.122,0.122,0.122
National Archives and Records Administration,2012-09-30,0.991,0.991,0.9915
National Archives and Records Administration,2012-09-30,1.286,1.286,0.877
National Archives and Records Administration,2012-08-17,2.179,2.178954,2.138081
National Archives and Records Administration,2012-08-30,0.783,0.782531,0.782531
National Archives and Records Administration,2012-12-12,0.705,0.705239,0.705239
National Archives and Records Administration,2012-12-24,0.434,0.433744,0.433744
National Archives and Records Administration,2012-03-31,1.81,0.724,0.724
National Archives and Records Administration,2013-09-30,4,0.75,0.75
National Archives and Records Administration,2013-03-15,4,1.34,1.34
National Archives and Records Administration,2013-03-15,2,1,1
National Archives and Records Administration,2013-08-15,12,0.5,0.5
National Archives and Records Administration,2013-09-30,12.5,6.5,6.5
National Science Foundation,2022-03-31,63.573,7.44,8.36
National Science Foundation,2012-09-30,3.126,3.126,3.07
National Science Foundation,2012-09-30,1.027,1.026,0.984
National Science Foundation,2012-09-30,1.14,1.14,1.101
National Science Foundation,2012-09-30,2.222,2.222,2.224
National Science Foundation,2012-09-30,2.788,2.787,2.767
National Science Foundation,2012-09-30,0.265,0.265,0.283
National Science Foundation,2013-01-31,3.947,3.946,3.849
National Science Foundation,2012-09-30,8.761,8.761,8.682
National Science Foundation,2012-09-30,3.208,3.207,3.106
National Science Foundation,2012-09-30,13.172,13.172,12.425
National Science Foundation,2012-09-30,6.004,6.003,5.802
National Science Foundation,2012-09-30,8.64,8.64,8.657
National Science Foundation,2012-09-30,2.352,2.352,2.354
National Science Foundation,2013-01-31,2.368,2.368,2.276
Nuclear Regulatory Commission,2011-09-30,5.358,2.607,2.849
Nuclear Regulatory Commission,2011-09-30,1.1,0.206,0.224
Nuclear Regulatory Commission,2012-09-30,1.325,1.253,1.0502
Nuclear Regulatory Commission,2011-09-30,0.181,0.18,0.179
Nuclear Regulatory Commission,2012-01-03,0.17,0.17,0.16939
Nuclear Regulatory Commission,2013-09-30,0.415,0.415,0.415
Nuclear Regulatory Commission,2012-01-31,0.1504,0.1504,0.1504
Nuclear Regulatory Commission,2012-09-28,1.363,1.363,1.39824
Nuclear Regulatory Commission,2012-06-29,0.015,0.015,0.015
Nuclear Regulatory Commission,2012-09-28,0.244,0.244,0.262023
Nuclear Regulatory Commission,2013-01-04,4.2,4.2,4.2
Nuclear Regulatory Commission,2012-02-01,7.3,7.3,7.3
Nuclear Regulatory Commission,2014-03-31,18.1,18.1,18.1
Nuclear Regulatory Commission,2019-09-30,70,0.03,0.03
Nuclear Regulatory Commission,2012-09-30,1.3,1.3,1.3
Nuclear Regulatory Commission,2011-09-30,0.271,0.271,0.271
Nuclear Regulatory Commission,2012-09-30,0.28,0.17,0.177
Nuclear Regulatory Commission,2011-08-31,0.101,0.101,0.501
Nuclear Regulatory Commission,2011-09-09,0.124,0.124,0.5235
Nuclear Regulatory Commission,2011-01-08,0.165,0.165,0.165
Nuclear Regulatory Commission,2012-07-30,1.55,1.05,1.05
Nuclear Regulatory Commission,2012-09-30,0.05,0.05,0.05
Nuclear Regulatory Commission,2012-08-31,0.2,0.2,0.2
Nuclear Regulatory Commission,2012-03-31,0.35,0.15,0.15
Nuclear Regulatory Commission,2012-09-30,0.735,0.535,0.528
Nuclear Regulatory Commission,2012-09-28,0.36,0.36,0.36
Nuclear Regulatory Commission,2012-09-30,0.82,0.62,0.57
Nuclear Regulatory Commission,2012-09-30,0.5,0.5,0.495
Nuclear Regulatory Commission,2011-09-30,2.245,2.245,2.237
Nuclear Regulatory Commission,2011-09-30,1.216,1.216,1.149
Nuclear Regulatory Commission,2011-09-30,2.056,2.056,2.068
Nuclear Regulatory Commission,2012-09-30,2.068,2.068,2.081
Nuclear Regulatory Commission,2012-09-30,2.296,2.296,2.308
Nuclear Regulatory Commission,2012-09-30,0.65,0.65,0.65
Nuclear Regulatory Commission,2012-09-30,2.552,2.552,2.478
Nuclear Regulatory Commission,2011-10-25,0.876,0.876,1.937
Nuclear Regulatory Commission,2012-06-30,0.394,0.39321,0.39321
Nuclear Regulatory Commission,2012-09-30,0.439,0.439,0.515
Nuclear Regulatory Commission,2013-09-30,0.92112,0.92112,0.92112
Nuclear Regulatory Commission,2012-09-30,0.32,0.32,0.32
Nuclear Regulatory Commission,2012-09-30,0.6,0.6,0.6
Nuclear Regulatory Commission,2012-09-30,0.84,0.84,0.835
Nuclear Regulatory Commission,2012-09-30,0.952,0.952,0.951
Nuclear Regulatory Commission,2011-09-30,0.82325,0.82325,0.82325
Nuclear Regulatory Commission,2011-09-30,65.88,65.88,65.88
Nuclear Regulatory Commission,2012-09-28,0.933,0.933,0.933
Nuclear Regulatory Commission,2012-09-28,0.9,0.9,0.9
Nuclear Regulatory Commission,2012-09-30,28,28,28
Nuclear Regulatory Commission,2012-09-30,0.111,0.111,0.111
Nuclear Regulatory Commission,2011-09-30,0.289,0.289,0.111
Nuclear Regulatory Commission,2012-09-30,0.577,0.577,0.37
Nuclear Regulatory Commission,2011-08-30,0.422,0.422,0.422
Nuclear Regulatory Commission,2011-09-30,0.5,0.5,0.5
Nuclear Regulatory Commission,2011-09-30,0.1795,0.1795,0.1666
Office of Personnel Management,2017-09-29,60.662272,13.19327,13.193201
Office of Personnel Management,2012-03-31,2.984,2.984,2.686489
Office of Personnel Management,2012-05-30,600,0.6,0.6
Office of Personnel Management,2011-09-30,11.364,11.364,11.775
Office of Personnel Management,2012-09-29,3.05,3.05,3.05
Office of Personnel Management,2011-11-30,0.01,0.01,0.0098
Office of Personnel Management,2012-02-29,0.01,0.01,0.009793
Office of Personnel Management,2012-05-31,0.01,0.01,0.009908
Office of Personnel Management,2012-08-31,0.01,0.01,0.01
Office of Personnel Management,2012-03-31,0.025,0.025,0.02584
Office of Personnel Management,2012-04-30,0.015,0.015,0.016493
Office of Personnel Management,2012-06-03,0.651,0.651,0.62643
Office of Personnel Management,2016-09-30,84,11.556,11.321564
Office of Personnel Management,2012-09-30,10.282,10.282,10.282
Office of Personnel Management,2011-09-30,101.548,48.562,45.729
Office of Personnel Management,2011-09-30,322.78,45.359,40.293
Office of Personnel Management,2012-09-30,22.2935,22.2934,22.2934
Office of Personnel Management,2012-09-30,4.084,4.084,4.084
Office of Personnel Management,2016-09-30,557.27,44.12332,41.029145
Office of Personnel Management,2013-10-31,1.22,1.22,1.22
Office of Personnel Management,2013-12-31,0.706,0.706,0.706
Office of Personnel Management,2011-09-30,48.3,45.01,38.429175
Office of Personnel Management,2016-09-30,36317.23512,8.854791,8.854447
Office of Personnel Management,2012-09-28,0.2,0.2,0.2
Office of Personnel Management,2012-09-28,4.29,4.287624,4.287624
Office of Personnel Management,2011-10-14,0.865,0.864693,0.864693
Office of Personnel Management,2011-12-30,13.4,13.308513,13.308513
Small Business Administration,2011-09-30,1.25,1.25,1.25
Small Business Administration,2012-09-28,5.696,5.6958,5.7382
Small Business Administration,2013-10-31,1.615,1.6054,0.8258
Small Business Administration,2012-09-28,1.5,1.0869,1.1563
Small Business Administration,2011-11-11,2.25,1.4138,1.3273
Small Business Administration,2011-09-30,1.3,1.2286,1.1182
Small Business Administration,2012-09-28,0.37,0.15,0.15
Small Business Administration,2011-05-26,0.034,0.034,0.034
Small Business Administration,2013-06-28,1.2237,1.2237,1.2237
Small Business Administration,2013-07-30,3.6407,3.6407,3.6407
Small Business Administration,2012-05-27,1.6193,1.6192,1.6355
Small Business Administration,2012-08-31,0.7257,0.7257,0.7062
Small Business Administration,2013-09-13,3.0526,3.0526,3.0526
Small Business Administration,2018-09-28,5.534,3.9842,3.9932
Small Business Administration,2011-08-29,0.388,0.0776,0.0776
Small Business Administration,2012-12-14,8.028,8.028,8.028
Small Business Administration,2018-09-28,53.1308,12.2758,12.2758
Small Business Administration,2018-09-28,3.2197,3.0034,3.0033
Small Business Administration,2012-09-28,0.38,0.38,0.3934
Small Business Administration,2012-04-20,0.3,0.1162,0.1162
Small Business Administration,2014-12-31,15.1,0.2625,0.2625
Small Business Administration,2013-09-30,3.4,0.5449,0.5449
Small Business Administration,2012-09-28,0.5,0.5,0.5
Small Business Administration,2013-04-30,1.6,1.6,1.6
Small Business Administration,2017-05-31,75,8.0375,8.0375
Social Security Administration,2011-09-30,46.36025,46.36025,45.05214
Social Security Administration,2012-09-30,2.82,2.81942,2.77549
Social Security Administration,2012-09-30,18.4,18.4,18.88
Social Security Administration,2012-09-30,6,6,6
Social Security Administration,2012-09-30,8.75,8.75,8.75
Social Security Administration,2012-09-30,9,9,9
Social Security Administration,2011-12-31,6.15,6.15,6.15
Social Security Administration,2012-09-30,19.1,19.1,24.375
Social Security Administration,2012-09-30,11,11,11
Social Security Administration,2012-09-30,0.36,0.36,0.35792
Social Security Administration,2012-09-30,0.2,0.2,0.1962
Social Security Administration,2012-09-30,8.79326,8.793105,7.21041
Social Security Administration,2012-09-30,1.62046,1.62045,1.14068
Social Security Administration,2012-09-30,3.60799,3.60798,1.73856
Social Security Administration,2012-09-30,0.15956,0.15956,0.40836
Social Security Administration,2012-09-30,0.09246,0.09246,0.12776
Social Security Administration,2012-09-30,0.86999,0.8699,1.78165
Social Security Administration,2012-09-30,0.20088,0.20088,0.35236
Social Security Administration,2012-09-30,0.56553,0.56553,0.18752
Social Security Administration,2012-09-30,2.71299,2.71298,2.4869
Social Security Administration,2012-09-30,0.19621,0.1962,0.18658
Social Security Administration,2011-09-30,36.76052,36.76052,37.15096
Social Security Administration,2012-09-30,8.06585,8.06585,9.09982
Social Security Administration,2012-09-30,56.02087,56.02087,52.61418
Social Security Administration,2012-09-30,18.23801,18.238,18.94868
Social Security Administration,2012-09-30,1.40266,1.40265,1.40265
Social Security Administration,2012-09-30,0.19621,0.1962,0.1962
Social Security Administration,2011-09-30,49.90049,49.90049,49.54768
Social Security Administration,2012-09-30,7.88095,7.88095,6.83317
Social Security Administration,2012-09-30,8.82243,8.82243,8.85805
Social Security Administration,2012-09-30,2.82354,2.82344,2.25784
Social Security Administration,2012-09-30,0.73526,0.73526,0.6178
Social Security Administration,2012-09-30,1.07094,1.07094,1.07088
Social Security Administration,2012-09-30,0.19621,0.1962,0.1962
Social Security Administration,2011-09-30,11.987903,11.987903,11.799866
Social Security Administration,2012-09-30,6.158,6.158,6.158
Social Security Administration,2012-09-30,3.6262,3.6262,3.6262
Social Security Administration,2012-09-30,3.205,3.204929,3.165968
Social Security Administration,2012-09-30,0.27222,0.27222,0.27222
Social Security Administration,2012-09-30,0.444572,0.444572,0.444572
Social Security Administration,2011-09-30,14.58129,14.58129,14.63774
Social Security Administration,2012-09-30,0.438008,0.438008,0.43866
Social Security Administration,2012-09-30,2.668281,2.327479,2.327473
Social Security Administration,2012-09-30,9.514157,9.514157,9.514158
Social Security Administration,2012-09-30,0.08027,0.08027,0.080272
Social Security Administration,2012-09-30,0.444572,0.444572,0.444572
Social Security Administration,2011-09-30,11.16399,3.07504,2.633
Social Security Administration,2012-09-30,3.264985,3.264983,6.22214
Social Security Administration,2012-09-30,3.92223,3.7393,2.70273
Social Security Administration,2012-09-30,5.891714,5.8915,6.22975
Social Security Administration,2012-09-30,1.543056,1.54303,0.98563
Social Security Administration,2012-09-30,1.342797,1.264753,1.26915
Social Security Administration,2012-09-30,2.67,2.66,2.66648
Social Security Administration,2012-09-30,0.2,0.2,0.19622
Social Security Administration,2011-09-30,83.47,83.47,84.96097
Social Security Administration,2012-09-30,21.06311,21.06311,20.91809
Social Security Administration,2012-09-30,43.02655,43.02655,41.83654
Social Security Administration,2012-09-30,0.68405,0.68404,0.79109
Social Security Administration,2012-09-30,0.1254,0.1254,0.1254
Social Security Administration,2012-09-30,2.18316,2.18316,2.18316
Social Security Administration,2011-09-30,5.610005,5.610005,5.623277
Social Security Administration,2012-09-30,0.982165,0.982165,0.86501
Social Security Administration,2012-09-30,26.32566,26.32566,19.73627
Social Security Administration,2012-09-30,0.159365,0.159365,0.159366
Social Security Administration,2012-09-30,0.817118,0.817118,0.817118
Social Security Administration,2012-09-30,7.96019,7.960176,6.41894
Social Security Administration,2012-09-30,0.86548,0.86546,0.83618
Social Security Administration,2012-09-30,3.957611,3.799154,2.70754
Social Security Administration,2012-09-30,5.794373,5.794372,5.76524
Social Security Administration,2012-09-30,3.10609,3.10609,3.10728
Social Security Administration,2012-09-30,0.203546,0.203546,0.203543
Social Security Administration,2011-09-30,57.95503,57.95503,58.77116
Social Security Administration,2012-09-30,3.91449,3.91448,3.70696
Social Security Administration,2012-09-30,1.96007,1.96007,1.89719
Social Security Administration,2012-08-25,6.21477,6.21476,6.37898
Social Security Administration,2012-04-28,3.1889,3.1889,3.12031
Social Security Administration,2012-01-31,1.84942,1.84942,2.05864
Social Security Administration,2012-09-30,2.21028,2.21028,2.36443
Social Security Administration,2012-09-30,6.03273,6.03272,6.78073
Social Security Administration,2012-09-30,1.21159,1.21158,1.82225
Social Security Administration,2012-09-30,15.5956,15.59558,13.92542
Social Security Administration,2012-09-30,4.82371,4.82371,5.47589
Social Security Administration,2012-09-30,3.94428,3.94427,3.83492
Social Security Administration,2012-09-30,0.88565,0.88565,0.63572
Social Security Administration,2012-09-30,3.25371,3.2537,5.6456
Social Security Administration,2012-09-30,2.83036,2.83036,2.70398
Social Security Administration,2012-09-30,7.56148,7.56148,7.56146
Social Security Administration,2012-09-30,4.04585,4.04584,4.04582
Social Security Administration,2011-09-30,16.85505,16.85505,16.32657
Social Security Administration,2012-09-30,0.15717,0.15716,0.05005
Social Security Administration,2012-09-30,0.22158,0.22157,0.23491
Social Security Administration,2012-09-30,0.03865,0.03244,0.03199
Social Security Administration,2012-09-30,0.34995,0.34995,0.48733
Social Security Administration,2012-09-30,6.11745,6.11745,6.93153
Social Security Administration,2012-09-30,0.12883,0.12882,0.11668
Social Security Administration,2012-09-30,0.42115,0.41253,0.32026
Social Security Administration,2012-09-30,1.30514,1.30514,1.30514
Social Security Administration,2012-09-30,0.19621,0.1962,0.1962
Social Security Administration,2011-09-30,475.44841,475.44841,488.92801
Social Security Administration,2012-09-30,141.60112,141.60111,143.56605
Social Security Administration,2012-09-30,272.97931,272.97931,277.64796
Social Security Administration,2012-09-30,22.5109,22.5109,22.5109
Social Security Administration,2012-09-30,1.07542,1.07542,1.07542
Social Security Administration,2011-09-30,27.83324,27.83324,52.38916
Social Security Administration,2012-09-30,26.15708,26.15707,26.61484
Social Security Administration,2012-09-30,57.38801,57.388,59.06619
Social Security Administration,2012-09-30,5.31502,5.31502,5.31502
Social Security Administration,2012-09-30,14.7255,14.7255,14.7255
Social Security Administration,2011-09-30,177.52352,177.52352,175.85437
Social Security Administration,2012-09-30,6.52776,6.52776,6.79969
Social Security Administration,2012-09-30,166.3723,166.37229,172.01358
Social Security Administration,2012-09-30,2.4632,2.4632,2.4625
Social Security Administration,2012-09-30,0.32039,0.32038,0.32038
U.S. Agency for International Development,2013-09-30,6.836,6.836,1.198957
U.S. Agency for International Development,2013-09-30,1.522,1.522,0
U.S. Agency for International Development,2013-09-30,20.7,20.7,20.47
U.S. Agency for International Development,2011-09-30,1.3,1.3,1.3
U.S. Agency for International Development,2012-04-20,0.33,0.33,0.33
U.S. Agency for International Development,2012-06-30,0.048,0.048,0.048
U.S. Agency for International Development,2011-08-30,0.025,0.025,0.025
U.S. Agency for International Development,2011-08-30,0.02,0.02,0.02
U.S. Agency for International Development,2011-09-30,0.036,0.036,0.03
U.S. Agency for International Development,2012-01-13,1.375,1.0375,0.9505
U.S. Agency for International Development,2012-01-13,0.1675,0.0375,0.0375
U.S. Agency for International Development,2013-01-03,2,2,2
U.S. Agency for International Development,2014-03-28,2.975,2.975,2.975
U.S. Agency for International Development,2014-02-28,37.322552,23.906127,23.906127
U.S. Agency for International Development,2012-07-17,0.035,0.035,0.035
U.S. Army Corps of Engineers,2012-06-30,8.275,8.275,8.275
U.S. Army Corps of Engineers,2013-09-30,3.93322,2.99492,2.92922
U.S. Army Corps of Engineers,2012-09-30,4.61155,4.61155,4.61155
U.S. Army Corps of Engineers,2013-09-30,1.75,1.425,1.4
U.S. Army Corps of Engineers,2012-09-30,4,4,4
U.S. Army Corps of Engineers,2015-09-30,12.047,0.15,0.15
U.S. Army Corps of Engineers,2013-09-30,0.605,0.125002,0.124982
U.S. Army Corps of Engineers,2013-09-30,0.65,0.16,0.16
U.S. Army Corps of Engineers,2012-09-28,0.7,0.7,0.7
U.S. Army Corps of Engineers,2012-07-31,1.375,1.375,1.843881
U.S. Army Corps of Engineers,2013-02-28,0.5,0.5,0.624301
U.S. Army Corps of Engineers,2012-06-29,0.775,0.775,0.775
U.S. Army Corps of Engineers,2013-04-30,0.8,0.8,0.8
U.S. Army Corps of Engineers,2013-04-30,1.28,1.28,1.28
U.S. Army Corps of Engineers,2013-04-30,0.4,0.4,0.4
U.S. Army Corps of Engineers,2013-09-30,2.6,1.075,1.075
U.S. Army Corps of Engineers,2013-09-30,4.5,1.9,1.9
U.S. Army Corps of Engineers,2012-09-30,4.07,0.5,0.2075
U.S. Army Corps of Engineers,2013-09-30,12.15,2.035,2.035
